Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PLI_User_TC01/-1,106837,238,226,238,246,890,213,2687,0.000%,29.67540,145.94,21.33
PLI_User_TC01_Launch_Page,106837,238,226,238,246,890,213,2687,0.000%,29.67421,145.94,21.33
PLI_User_TC02/api/v1/login-20,106829,238,223,239,277,881,211,1566,0.000%,29.69645,9.60,31.95
PLI_User_TC02/api/v1/login-21,106823,244,234,258,293,452,219,1611,0.000%,29.70448,46.78,36.56
PLI_User_TC02/api/v1/projects-29,106817,228,222,237,259,365,211,1439,0.000%,29.70696,9.63,33.59
PLI_User_TC02/api/v1/projects-30,50,1477,1440,2202,2418,2528,537,2528,0.000%,3.21668,6.61,4.27
PLI_User_TC02_Login_Page,106808,711,684,746,822,1362,641,4787,0.000%,29.69131,66.01,102.08
PLI_User_TC03/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-63,106808,10,0,0,0,230,0,1537,95.464%,29.71202,36.03,1.58
PLI_User_TC03_ProjectsetupHome_Page,106807,33,0,1,1,695,0,12109,95.465%,29.71309,36.93,4.86
PLI_User_TC03/api/v1/menuItems-64,23,2210,2543,2972,3547,3773,869,3773,0.000%,1.34189,1.36,1.88
PLI_User_TC03/api/v1/projectSetup?projectNumber=4321&menuId=76564cfa-f3ab-4c58-a545-b4f79c6ed143-72,4844,231,223,238,258,392,211,1323,0.000%,1.34863,0.44,1.61
PLI_User_TC03/api/v1/project/nonlaminaroutputs/list?projectNumber=4321&submenuId=eabf4e34-33a7-43bc-a578-a346e984b16b-73,4844,232,224,239,262,405,211,1288,0.000%,1.34863,0.44,1.64
PLI_User_TC03/api/v1/project/nonlaminaroutputs/list-76,23,907,960,1095,1221,1646,375,1646,0.000%,1.33939,1.32,1.93
PLI_User_TC03/api/v1/projectSetup-77,23,5641,5772,7060,7330,8223,2933,8223,0.000%,1.03487,2.21,1.47
PLI_User_TC04/api/v1/menuItems?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5-92,4844,230,224,238,259,379,211,968,0.000%,1.34990,0.44,1.61
PLI_User_TC04/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-91,4844,232,224,239,264,398,211,1176,0.000%,1.34993,0.44,1.59
PLI_User_TC04/api/v1/menuItems-93,23,2338,2329,2802,2899,3523,1290,3523,0.000%,1.10988,1.18,1.57
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=e74da6c2-d017-4cf8-b019-d1ba74ceea36-95,4844,231,224,238,256,407,212,1969,0.000%,1.35080,0.44,1.68
PLI_User_TC04/api/v1/projectForm-99,23,791,770,979,1243,1532,374,1532,0.000%,1.22712,2.37,1.80
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=cc7a226d-0778-43b5-8035-d4fe2dd3535b-111,4843,232,224,239,265,413,211,1409,0.000%,1.35146,0.44,1.68
PLI_User_TC04/api/v1/projectForm-113,23,776,783,1062,1136,1347,415,1347,0.000%,1.28377,1.91,1.88
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=231bf9f1-1205-4ee7-b911-16c27190d692-147,4843,230,223,238,256,372,211,1286,0.000%,1.35186,0.44,1.68
PLI_User_TC04/api/v1/projectForm-148,23,677,690,928,933,947,359,947,0.000%,1.31504,1.77,1.93
PLI_User_TC04/api/v1/projectForm-151,23,680,643,923,1028,1094,387,1094,0.000%,1.34700,1.37,1.97
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=d8067773-1910-4fcf-a541-3699c7a65795-153,4843,232,224,239,259,403,211,922,0.000%,1.35268,0.44,1.68
PLI_User_TC04/api/v1/projectForm-154,23,568,541,786,792,897,357,897,0.000%,1.41174,1.89,2.07
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=3d7c7c2f-5f0f-41e6-bd74-9829cd2c83be-155,4843,231,224,239,257,388,211,1044,0.000%,1.35303,0.44,1.68
PLI_User_TC04/api/v1/projectForm-156,23,592,550,971,973,983,354,983,0.000%,1.44709,1.56,2.12
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=c14bc2c1-30d7-48bd-9e54-a887f1876d35-157,4843,231,224,239,262,367,211,1355,0.000%,1.35344,0.44,1.68
PLI_User_TC04/static/media/icon-loading.0f0a4fde.svg-158,4842,253,229,240,249,930,214,1765,0.000%,1.35336,1.86,0.94
PLI_User_TC04/api/v1/projectForm-159,23,590,530,930,943,1097,327,1097,0.000%,1.49457,1.53,2.19
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=74aa0c47-ae01-48f8-b792-e34e589232d9-160,4842,233,224,237,257,488,211,1320,0.000%,1.35366,0.44,1.68
PLI_User_TC04/api/v1/projectForm-161,23,609,586,829,959,1005,372,1005,0.000%,1.50533,1.41,2.21
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=caa43011-0068-453f-bcf4-2a32add1aed0-162,4842,232,224,240,260,395,212,1368,0.000%,1.35403,0.44,1.68
PLI_User_TC04/api/v1/projectForm-163,23,612,579,872,970,975,370,975,0.000%,1.55300,1.88,2.27
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=1d07757b-ab59-42e2-9be2-410d297428a3-164,4840,230,223,237,255,374,211,942,0.000%,1.35402,0.44,1.68
PLI_User_TC04/api/v1/projectForm-165,23,600,578,817,819,838,349,838,0.000%,1.59236,2.86,2.33
PLI_User_TC04_ProjectInformation_Page,4838,2845,2725,3209,3418,3980,2559,16772,0.000%,1.34846,6.76,19.30
PLI_User_TC05/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-171,4838,230,224,237,255,362,211,927,0.000%,1.35428,0.44,1.59
PLI_User_TC05/api/v1/menuItems?projectNumber=4321&menuId=237a56bc-ec95-41aa-a7dd-d0763d233e55-172,4838,231,224,239,261,398,212,1173,0.000%,1.35439,0.44,1.62
PLI_User_TC05/api/v1/menuItems-174,23,1499,1520,1852,2326,2383,765,2383,0.000%,1.52712,1.39,2.16
PLI_User_TC05/api/v1/projectSpecificDoc?projectNumber=4321&submenuId=dc316bef-3a90-44f5-b542-e4025f9d5452&rights=2-175,4838,231,224,238,256,361,211,1357,0.000%,1.35536,0.44,1.65
PLI_User_TC05/api/v1/projectSpecificDoc-177,23,502,513,669,684,762,306,762,0.000%,1.78239,3.73,2.56
PLI_User_TC05/api/v1/categoryProjectSpecificDoc?projectNumber=4321&submenuId=dc316bef-3a90-44f5-b542-e4025f9d5452-179,4838,230,223,238,262,366,211,933,0.000%,1.35570,0.44,1.65
PLI_User_TC05/api/v1/categoryProjectSpecificDoc-180,23,377,384,480,485,513,258,513,0.000%,1.84517,3.96,2.65
PLI_User_TC05/api/v1/categoryProjectSpecificDoc?projectNumber=4321&submenuId=02a97c7d-f4fb-486c-ac97-df29d8497dd4-183,4838,230,224,238,254,359,211,1144,0.000%,1.35589,0.44,1.64
PLI_User_TC05/api/v1/projectSpecificDoc?projectNumber=4321&submenuId=02a97c7d-f4fb-486c-ac97-df29d8497dd4&rights=2-182,4838,230,224,237,254,374,211,1021,0.000%,1.35593,0.44,1.65
PLI_User_TC05/api/v1/categoryProjectSpecificDoc-184,23,316,318,423,426,447,247,447,0.000%,1.87955,0.79,2.70
PLI_User_TC05/api/v1/projectSpecificDoc-185,23,421,368,559,707,750,289,750,0.000%,1.86461,2.06,2.68
PLI_User_TC05/api/v1/categoryProjectSpecificDoc?projectNumber=4321&submenuId=c63294b8-d724-422c-aef4-40c28a25c6b6-188,4837,229,223,238,253,332,212,1226,0.000%,1.35597,0.44,1.64
