Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PLI_User_TC01/-1,44182,239,227,236,241,897,213,9124,0.000%,12.27268,60.36,8.82
PLI_User_TC01_Launch_Page,44182,239,227,236,241,897,213,9124,0.000%,12.27235,60.36,8.82
PLI_User_TC02/api/v1/login-20,44180,234,222,231,234,890,211,9181,0.000%,12.27908,3.97,13.21
PLI_User_TC02/api/v1/login-21,44174,235,232,243,250,291,220,9204,0.000%,12.28192,19.34,15.12
PLI_User_TC02/api/v1/projects-29,44173,224,222,230,232,252,211,9205,0.000%,12.28231,3.98,13.89
PLI_User_TC02/api/v1/projects-30,20,934,885,1223,1261,1525,560,1525,0.000%,2.34384,4.91,3.11
PLI_User_TC02_Login_Page,44170,694,678,705,720,1347,643,9675,0.000%,12.27721,27.29,42.21
PLI_User_TC03/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-63,44170,10,0,0,0,227,0,7081,95.612%,12.28656,14.92,0.63
PLI_User_TC03_ProjectsetupHome_Page,44170,30,0,1,1,681,0,7555,95.612%,12.28656,15.28,1.94
PLI_User_TC03/api/v1/menuItems-64,9,843,908,990,1027,1027,542,1027,0.000%,1.10511,1.12,1.55
PLI_User_TC03/api/v1/projectSetup?projectNumber=4321&menuId=76564cfa-f3ab-4c58-a545-b4f79c6ed143-72,1938,226,223,230,233,264,212,1664,0.000%,.53938,0.17,0.65
PLI_User_TC03/api/v1/project/nonlaminaroutputs/list?projectNumber=4321&submenuId=eabf4e34-33a7-43bc-a578-a346e984b16b-73,1938,225,223,230,232,256,212,1225,0.000%,.53939,0.17,0.66
PLI_User_TC03/api/v1/project/nonlaminaroutputs/list-76,9,504,477,639,644,644,389,644,0.000%,1.13982,1.12,1.64
PLI_User_TC03/api/v1/projectSetup-77,9,2025,1887,2235,3616,3616,1162,3616,0.000%,1.03974,2.22,1.48
PLI_User_TC04/api/v1/menuItems?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5-92,1938,227,223,230,233,272,212,1701,0.000%,.53970,0.17,0.64
PLI_User_TC04/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-91,1938,224,223,230,232,259,212,912,0.000%,.53970,0.17,0.63
PLI_User_TC04/api/v1/menuItems-93,9,923,925,988,1407,1407,514,1407,0.000%,1.20112,1.27,1.70
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=e74da6c2-d017-4cf8-b019-d1ba74ceea36-95,1938,228,223,230,232,274,212,1762,0.000%,.53989,0.18,0.67
PLI_User_TC04/api/v1/projectForm-99,9,407,363,488,560,560,322,560,0.000%,1.38611,2.68,2.03
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=cc7a226d-0778-43b5-8035-d4fe2dd3535b-111,1938,226,223,230,232,269,212,1371,0.000%,.53997,0.18,0.67
PLI_User_TC04/api/v1/projectForm-113,9,383,347,475,584,584,314,584,0.000%,1.42857,2.13,2.09
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=231bf9f1-1205-4ee7-b911-16c27190d692-147,1937,224,223,230,231,248,212,978,0.000%,.54009,0.18,0.67
PLI_User_TC04/api/v1/projectForm-148,9,387,357,462,533,533,315,533,0.000%,1.42812,1.92,2.09
PLI_User_TC04/api/v1/projectForm-151,9,401,440,450,461,461,299,461,0.000%,1.47662,1.50,2.16
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=d8067773-1910-4fcf-a541-3699c7a65795-153,1937,227,223,230,233,274,212,1375,0.000%,.54024,0.18,0.67
PLI_User_TC04/api/v1/projectForm-154,9,352,335,398,444,444,302,444,0.000%,1.52491,2.04,2.23
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=3d7c7c2f-5f0f-41e6-bd74-9829cd2c83be-155,1937,225,223,230,233,261,212,1512,0.000%,.54031,0.18,0.67
PLI_User_TC04/api/v1/projectForm-156,9,391,369,485,511,511,318,511,0.000%,1.52827,1.65,2.24
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=c14bc2c1-30d7-48bd-9e54-a887f1876d35-157,1937,226,223,230,233,257,212,1062,0.000%,.54038,0.18,0.67
PLI_User_TC04/static/media/icon-loading.0f0a4fde.svg-158,1937,244,230,240,245,874,215,9157,0.000%,.54038,0.74,0.38
PLI_User_TC04/api/v1/projectForm-159,9,317,310,320,370,370,303,370,0.000%,1.56849,1.60,2.30
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=74aa0c47-ae01-48f8-b792-e34e589232d9-160,1937,231,223,230,232,861,212,1329,0.000%,.54043,0.18,0.67
PLI_User_TC04/api/v1/projectForm-161,9,345,323,380,477,477,300,477,0.000%,1.56223,1.47,2.29
PLI_User_TC04/api/v1/projectForm?projectNumber=4321&menuId=5fcd1674-7760-4df0-84ac-2ea780dfc3f5&submenuId=caa43011-0068-453f-bcf4-2a32add1aed0-162,1937,229,222,230,232,256,212,7055,0.000%,.54051,0.18,0.67
